ladder,cell,name,status,key,generator,control_arm,gate,method
GP,GP4,Dynamic,forms,computed (frozen graph),,the oracle graph,z = P_transition · ¬promote · K,GP4-DYNAMIC
GP,GP5,Novel interface,forms,computed (frozen graph),,the oracle graph,z = P_goal · ¬promote · K,GP5-NOVEL
I,I0,Transient,runs,computed,hilbench.core:th_episode,—,z = Ep,I0-TRANSIENT
I,I1,Persistent continuity,runs,computed,hilbench.m1_restart:generate_pair,the no-record (ablated-state) arm,z = Rec · Prov · ¬Abl · K,I1-RST
I,I2,Verified-experience transfer,runs,computed,families.learning_t2:generate_pair,the no-experience arm,z = Chg · Xfer · Frz · K,I2-XFER
I,I3,Governed self-improvement,forms,frozen sealed suite,hilbench.i3i4_scoring:i3_gates,the ablated Θ (rollback arm),z = D · M_Θ · V · G · K,I3-THETA
I,I4,Recursive improvement,forms,frozen sealed suite,hilbench.i3i4_scoring:i4_gates,the frozen Ψ,z = M_Ψ · V_Ψ · G_Ψ · K,I4-PSI
I,I5,Persistent discovery with incorporation,runs,computed + sealed,hilbench.i5_campaign:run_i5,the matched control after restart (no consolidation),z = U · H · E · L · V · P · K,I5-DISC
I,IΩ,Reachability,forms,external,hilbench.i3i4_scoring:iomega_gates,the pre-frontier; the ablated instrument,z = R_reach · Ext · K,IOMEGA-LONG
M,M0,Ephemeral,forms,computed (form),hilbench.memory_scoring:gate,"the post-restart arm (loss is M0, never M1)",z = Use,M0-EPH
M,M1,Persistent,runs,computed,hilbench.m1_restart:generate_pair,the ablated-state arm,z = Surv · Prov · ¬Abl · K,M1-RST
M,M2,Structured episodic,forms,computed (form),hilbench.memory_scoring:gate,the stale superseded fact,z = PR · q_prov · q_time · q_stale · K,M2-PROV
M,M3,Consolidating,forms,computed (form),hilbench.memory_scoring:gate,raw episodes hidden / index rebuilt,z = Rule · Demote · Mach · K,M3-CONSOL
M,M4,Self-managing,forms,computed (form),hilbench.memory_scoring:gate,the unrepaired store,z = Det · Act · Health · Ret · K,M4-MGMT
M,M5,Longitudinal,forms,computed (form),hilbench.memory_scoring:gate,the single-project arm,z = Lineage · K,M5-LONG
M,MΩ,Evolving memory mechanism,forms,"computed (form, I_Φ)",hilbench.memory_scoring:gate,Φ0 on fixed contents; the Φ1−ΔΦ ablation,z = diff · scope · act · beh · Δ_abl · Mig · K,MOMEGA-EVOLVE
O,O0,Coordination,runs,computed,hilbench.o_families:o0_generate,the single-role arm (one prompt role-playing three),z = R · V · N_O,O0-COORD
O,O1,Organizational memory,runs,computed,hilbench.o_families:o1_generate_pair,the log-withheld arm,z = L · D · N_O · K,O1-PERSIST
O,O2,Organizational adaptation,forms,computed (form),,the evidence-withheld arm; the fixed-policy arm,z = E · P · H · N_O · K,O2-ADAPT
O,O3,Self-improving organization,specification,frozen sealed suite,,the ablated Θ_O,z = M · V · G · N_O · K,O3-THETA
O,O4,Recursive organization,specification,frozen sealed suite,,the frozen Ψ_O,z = M_Ψ · V_Ψ · G_Ψ · N_O · K,O4-PSI
O,O5,Collective discovery,specification,computed + sealed,,the parallel-individual arm; the single-member arm,z = UHELVP · N_O · K,O5-DISC
O,OΩ,Open-ended organization,specification,external,,the pre-frontier organization,z = R_reach · N_O · K,OOMEGA-EVOLVE
SA,SA0,Baseline,forms,computed (form),,the static-prompt decoy,z = ¬G,SA0-BASE
SA,SA1,Grounded state,runs,computed,hilbench.sa_probes:sa1_generate,the stale record,z = G · ¬S,SA1-STATE
SA,SA2,Limits,runs,computed,hilbench.sa_probes:sa2_generate,the unsolvable twin,z = C · B · ¬F · K,SA2-CAPABILITY
SA,SA-cal,Calibration (diagnostic),runs,computed,hilbench.score:sacal_pass,the constant forecast at the base rate,z = Brier,
SA,SA3,Mechanism of failure,forms,frozen rubric,,"a decoy cause: same symptom, different cause",z = N · R · X · K,SA3-CAUSAL
SA,SA4,Self-change awareness,forms,frozen sealed suite,,the post-hoc constant forecast,z = P · M · A · K,SA4-SELF-CHANGE
SA,SA5,Meta-cognitive,forms,frozen rubric,,a non-discriminating experiment,z = U · E · D · K,SA5-META
SA,SA6,Mission/role,specification,frozen rubric,,the role-swap arm,z = R · C · K,SA6-MISSION-ROLE
SA,SAΩ,Reflexive open-ended,specification,external,,the pre-evolution self-model,z = L · K,SAOMEGA-REFLEX
T,T0,Trivial,runs,computed,hilbench.core:th_episode,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T0-ATOMIC
T,T1,Routine,runs,computed,hilbench.core:th_episode,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T1-ROUTINE
T,T2,Multi-step,runs,computed,hilbench.hard:hc_sched_generate,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T2-MULTISTEP
T,T3,Complex,runs,computed,hilbench.core:run_extended,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T3-COMPLEX
T,T4,Expert project,runs,computed,hilbench.core:run_extended,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T4-EXPERT-PROJECT
T,T5,Frontier,runs,computed,hilbench.core:run_extended,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T5-FRONTIER
T,T6,Mission,specification,computed,,the held-back arm: a refusal must outscore a false completion,z = Δ · V · ¬FC · L_h · B,T6-MISSION
T,TΩ,Charter,specification,external,,the held-back arm,z = Δ · V · ¬FC · L_h · B,TOMEGA-CHARTER
H,H0,None,runs,ledger classification,hilbench.h_ledger:h_class,"the ledger itself, classified by a locus outside the pair",z = L_h · Cls,H0-NONE
H,H1,Exception-only,forms,ledger classification,hilbench.h_ledger:h_class,"the ledger itself, classified by a locus outside the pair",z = L_h · Cls,H1-EXCEPTION
H,H2,Occasional,forms,ledger classification,hilbench.h_ledger:h_class,"the ledger itself, classified by a locus outside the pair",z = L_h · Cls,H2-OCCASIONAL
H,H3,Periodic,forms,ledger classification,hilbench.h_ledger:h_class,"the ledger itself, classified by a locus outside the pair",z = L_h · Cls,H3-PERIODIC
H,H4,Frequent,forms,ledger classification,hilbench.h_ledger:h_class,"the ledger itself, classified by a locus outside the pair",z = L_h · Cls,H4-FREQUENT
H,H5,Continuous,forms,ledger classification,hilbench.h_ledger:h_class,"the ledger itself, classified by a locus outside the pair",z = L_h · Cls,H5-CONTINUOUS
DI,DF,Delegation frontier,runs,computed,hilbench.score:frontier_cumulative,the held-back arm and the ledger,z = S_net · K_T,DI-FRONTIER
HG,HG0,Baseline,runs,computed,hilbench.hg_conform:probe,—,z = E,HG0-CONFORM
HG,HG1,Acceptance,runs,computed,hilbench.hg_conform:probe,HG0 on the same seeds,z = E · U · Δ_1 · K,HG1-CONFORM
HG,HG2,Snapshot/retry,runs,computed,hilbench.hg_conform:probe,HG1 on the same seeds,z = E · U · Δ_2 · K,HG2-CONFORM
HG,HG3,Classify/route,forms,computed (specified),,HG2 on the same seeds,z = E · U · Δ_3 · K,HG3-CONFORM
HG,HG4,Θ loop,specification,computed (specified),,HG3 on the same seeds,z = E · U · Δ_4 · K,HG4-CONFORM
HG,HG5,Ψ engine,specification,computed (specified),,HG4 on the same seeds,z = E · U · Δ_5 · K,HG5-CONFORM
HG,HG6,Discovery loop,specification,computed (specified),,HG5 on the same seeds,z = E · U · Δ_6 · K,HG6-CONFORM
HG,HGΩ,Transduction,specification,external,,HG6 on the same seeds,z = E · U · Δ_Ω · K,HGOMEGA-CONFORM
U,U0,Reactive,runs,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI,U0-GATE
U,U1,Persistent,runs,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI · K,U1-GATE
U,U2,Adaptive,runs,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI · K,U2-GATE
U,U3,Self-improving,specification,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI · K,U3-GATE
U,U4,Recursive,specification,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI · K,U4-GATE
U,U5,Discovery,specification,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI · K,U5-GATE
U,U6,Mission,specification,computed from certificates,hilbench.score:gate,the bottleneck report: the first coordinate that refuses,z = C · I · O · SA · DI · K,U6-GATE
U,UΩ,Open-ended,specification,computed from certificates,hilbench.score:gate,the bottleneck report,z = C · I · O · SA · DI · K,UOMEGA-GATE
